issue_id,magazine,year,month,issue_label,source,listing_type,observed_on,title,condition,stock,price_jpy,is_set,set_size,unit_price_jpy,is_extra,matched_issue,url
boxing_magazine-2000-11,ボクシング・マガジン,2000,11,2000年11月号,surugaya,asking,2026-09-04,ボクシングマガジン 2000/11,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE270?tenpo_cd=
boxing_magazine-2000-02,ボクシング・マガジン,2000,2,2000年2月号,surugaya,asking,2026-09-04,ボクシングマガジン 2000/2,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE261?tenpo_cd=
boxing_magazine-2000-05,ボクシング・マガジン,2000,5,2000年5月号,surugaya,asking,2026-09-04,ボクシングマガジン 2000/5,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE264?tenpo_cd=
boxing_magazine-1998-01,ボクシング・マガジン,1998,1,1998年1月号,surugaya,asking,2026-09-04,ボクシングマガジン 1998/1,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE244?tenpo_cd=
boxing_magazine-1997-06,ボクシング・マガジン,1997,6,1997年6月号,surugaya,asking,2026-09-04,ボクシングマガジン 1997/6,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE250?tenpo_cd=
boxing_magazine-1997-12,ボクシング・マガジン,1997,12,1997年12月号,surugaya,asking,2026-09-04,ボクシングマガジン 1997/12,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE256?tenpo_cd=
boxing_magazine-2000-07,ボクシング・マガジン,2000,7,2000年7月号,surugaya,asking,2026-09-04,ボクシングマガジン 2000/7,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE266?tenpo_cd=
boxing_magazine-1996-12,ボクシング・マガジン,1996,12,1996年12月号,surugaya,asking,2026-09-04,ボクシングマガジン 1996/12,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE283?tenpo_cd=
boxing_magazine-1997-02,ボクシング・マガジン,1997,2,1997年2月号,surugaya,asking,2026-09-04,ボクシングマガジン 1997/2,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE246?tenpo_cd=
boxing_magazine-1997-11,ボクシング・マガジン,1997,11,1997年11月号,surugaya,asking,2026-09-04,ボクシングマガジン 1997/11,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE255?tenpo_cd=
boxing_magazine-1997-05,ボクシング・マガジン,1997,5,1997年5月号,surugaya,asking,2026-09-04,ボクシングマガジン 1997/5,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE249?tenpo_cd=
boxing_magazine-2001-05,ボクシング・マガジン,2001,5,2001年5月号,surugaya,asking,2026-09-04,ボクシングマガジン 2001/5,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE276?tenpo_cd=
boxing_magazine-2000-03,ボクシング・マガジン,2000,3,2000年3月号,surugaya,asking,2026-09-04,ボクシングマガジン 2000/3,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE262?tenpo_cd=
boxing_magazine-2001-02,ボクシング・マガジン,2001,2,2001年2月号,surugaya,asking,2026-09-04,ボクシングマガジン 2001/2,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE273?tenpo_cd=
boxing_magazine-1996-07,ボクシング・マガジン,1996,7,1996年7月号,surugaya,asking,2026-09-04,ボクシングマガジン 1996/7,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE278?tenpo_cd=
boxing_magazine-1996-08,ボクシング・マガジン,1996,8,1996年8月号,surugaya,asking,2026-09-04,ボクシングマガジン 1996/8,,品切れ,240,0,1,240,0,1,https://www.suruga-ya.jp/product/detail/ZSARE279?tenpo_cd=
boxing_magazine-1998-01,ボクシング・マガジン,1998,1,1998年1月号,surugaya,asking,2026-09-04,不死鳥伝説 辰吉丈一郎 ボクシングマガジン 1998年1月号増刊,,品切れ,240,0,1,240,1,1,https://www.suruga-ya.jp/product/detail/ZSARE5731?tenpo_cd=
boxing_magazine-2000-01,ボクシング・マガジン,2000,1,2000年1月号,surugaya,asking,2026-09-04,付録付)ボクシングマガジン 2000/1(別冊付録1点),,品切れ,240,0,1,240,1,1,https://www.suruga-ya.jp/product/detail/ZSARE260?tenpo_cd=
boxing_magazine-2001-01,ボクシング・マガジン,2001,1,2001年1月号,surugaya,asking,2026-09-04,付録付)ボクシングマガジン 2001/1(別冊付録1点),,品切れ,240,0,1,240,1,1,https://www.suruga-ya.jp/product/detail/ZSARE272?tenpo_cd=
